Designator,Mid X,Mid Y,Rotation,Layer
C1,82.51,-58.1975,90.0,top
C10,198.735,-153.9275,270.0,top
C100,116.695,-121.2475,270.0,top
C101,138.175,-91.175,90.0,top
C102,144.525,-121.055,270.0,top
C103,165.005,-90.975,90.0,top
C104,171.345,-120.955,270.0,top
C105,192.405,-90.905,90.0,top
C106,198.735,-120.9275,270.0,top
C107,219.82,-90.9125,90.0,top
C108,225.61,-120.965,270.0,top
C109,82.51,-94.6725,270.0,top
C11,219.82,-57.9125,90.0,top
C110,89.375,-117.8,90.0,top
C111,110.345,-94.7375,270.0,top
C112,116.695,-117.7725,90.0,top
C113,138.175,-94.65,270.0,top
C114,144.525,-117.58,90.0,top
C115,165.005,-94.45,270.0,top
C116,171.345,-117.48,90.0,top
C117,192.405,-94.38,270.0,top
C118,198.735,-117.4525,90.0,top
C119,219.82,-94.3875,270.0,top
C12,225.61,-153.965,270.0,top
C120,225.61,-117.49,90.0,top
C121,82.51,-99.4475,90.0,top
C122,89.375,-113.025,270.0,top
C123,110.345,-99.5125,90.0,top
C124,116.695,-112.9975,270.0,top
C125,138.175,-99.425,90.0,top
C126,144.525,-112.805,270.0,top
C127,165.005,-99.225,90.0,top
C128,171.345,-112.705,270.0,top
C129,192.405,-99.155,90.0,top
C13,82.51,-61.6475,270.0,top
C130,198.735,-112.6775,270.0,top
C131,219.82,-99.1625,90.0,top
C132,225.61,-112.715,270.0,top
C133,82.51,-102.9225,270.0,top
C134,89.375,-109.55,90.0,top
C135,110.345,-102.9875,270.0,top
C136,116.695,-109.5225,90.0,top
C137,138.175,-102.9,270.0,top
C138,144.525,-109.33,90.0,top
C139,165.005,-102.7,270.0,top
C14,89.375,-150.825,90.0,top
C140,171.345,-109.23,90.0,top
C141,192.405,-102.63,270.0,top
C142,198.735,-109.2025,90.0,top
C143,219.82,-102.6375,270.0,top
C144,225.61,-109.24,90.0,top
C145,82.51,-107.6975,270.0,top
C146,89.375,-104.775,90.0,top
C147,110.345,-107.7625,270.0,top
C148,116.695,-104.7475,90.0,top
C149,138.175,-107.675,270.0,top
C15,110.345,-61.7125,270.0,top
C150,144.525,-104.555,90.0,top
C151,165.005,-107.475,270.0,top
C152,171.345,-104.455,90.0,top
C153,192.405,-107.405,270.0,top
C154,198.735,-104.4275,90.0,top
C155,219.82,-107.4125,270.0,top
C156,225.61,-104.465,90.0,top
C157,82.51,-111.1725,90.0,top
C158,89.375,-101.3,270.0,top
C159,110.345,-111.2375,90.0,top
C16,116.695,-150.7975,90.0,top
C160,116.695,-101.2725,270.0,top
C161,138.175,-111.15,90.0,top
C162,144.525,-101.08,270.0,top
C163,165.005,-110.95,90.0,top
C164,171.345,-100.98,270.0,top
C165,192.405,-110.88,90.0,top
C166,198.735,-100.9525,270.0,top
C167,219.82,-110.8875,90.0,top
C168,225.61,-100.99,270.0,top
C169,82.51,-115.9475,270.0,top
C17,138.175,-61.625,270.0,top
C170,89.375,-96.525,90.0,top
C171,110.345,-116.0125,270.0,top
C172,116.695,-96.4975,90.0,top
C173,138.175,-115.925,270.0,top
C174,144.525,-96.305,90.0,top
C175,165.005,-115.725,270.0,top
C176,171.345,-96.205,90.0,top
C177,192.405,-115.655,270.0,top
C178,198.735,-96.1775,90.0,top
C179,219.82,-115.6625,270.0,top
C18,144.525,-150.605,90.0,top
C180,225.61,-96.215,90.0,top
C181,82.51,-119.4225,90.0,top
C182,89.375,-93.05,270.0,top
C183,110.345,-119.4875,90.0,top
C184,116.695,-93.0225,270.0,top
C185,138.175,-119.4,90.0,top
C186,144.525,-92.83,270.0,top
C187,165.005,-119.2,90.0,top
C188,171.345,-92.73,270.0,top
C189,192.405,-119.13,90.0,top
C19,165.005,-61.425,270.0,top
C190,198.735,-92.7025,270.0,top
C191,219.82,-119.1375,90.0,top
C192,225.61,-92.74,270.0,top
C193,82.51,-124.1975,270.0,top
C194,89.375,-88.275,90.0,top
C195,110.345,-124.2625,270.0,top
C196,116.695,-88.2475,90.0,top
C197,138.175,-124.175,270.0,top
C198,144.525,-88.055,90.0,top
C199,165.005,-123.975,270.0,top
C2,89.375,-154.275,270.0,top
C20,171.345,-150.505,90.0,top
C200,171.345,-87.955,90.0,top
C201,192.405,-123.905,270.0,top
C202,198.735,-87.9275,90.0,top
C203,219.82,-123.9125,270.0,top
C204,225.61,-87.965,90.0,top
C205,82.51,-127.6975,90.0,top
C206,89.375,-84.775,270.0,top
C207,110.345,-127.7625,90.0,top
C208,116.695,-84.7475,270.0,top
C209,138.175,-127.675,90.0,top
C21,192.405,-61.355,270.0,top
C210,144.525,-84.555,270.0,top
C211,165.005,-127.475,90.0,top
C212,171.345,-84.455,270.0,top
C213,192.405,-127.405,90.0,top
C214,198.735,-84.4275,270.0,top
C215,219.82,-127.4125,90.0,top
C216,225.61,-84.465,270.0,top
C217,82.51,-132.4725,270.0,top
C218,89.375,-80.0,90.0,top
C219,110.345,-132.5375,270.0,top
C22,198.735,-150.4775,90.0,top
C220,116.695,-79.9725,90.0,top
C221,138.175,-132.45,270.0,top
C222,144.525,-79.78,90.0,top
C223,165.005,-132.25,270.0,top
C224,171.345,-79.68,90.0,top
C225,192.405,-132.18,270.0,top
C226,198.735,-79.6525,90.0,top
C227,219.82,-132.1875,270.0,top
C228,225.61,-79.69,90.0,top
C229,82.51,-135.9725,90.0,top
C23,219.82,-61.3625,270.0,top
C230,89.375,-76.5,270.0,top
C231,110.345,-136.0375,90.0,top
C232,116.695,-76.4725,270.0,top
C233,138.175,-135.95,90.0,top
C234,144.525,-76.28,270.0,top
C235,165.005,-135.75,90.0,top
C236,171.345,-76.18,270.0,top
C237,192.405,-135.68,90.0,top
C238,198.735,-76.1525,270.0,top
C239,219.82,-135.6875,90.0,top
C24,225.61,-150.515,90.0,top
C240,225.61,-76.19,270.0,top
C241,82.51,-140.7475,270.0,top
C242,89.375,-71.725,90.0,top
C243,110.345,-140.8125,270.0,top
C244,116.695,-71.6975,90.0,top
C245,138.175,-140.725,270.0,top
C246,144.525,-71.505,90.0,top
C247,165.005,-140.525,270.0,top
C248,171.345,-71.405,90.0,top
C249,192.405,-140.455,270.0,top
C25,82.51,-66.4475,90.0,top
C250,198.735,-71.3775,90.0,top
C251,219.82,-140.4625,270.0,top
C252,225.61,-71.415,90.0,top
C253,82.51,-144.2225,90.0,top
C254,89.375,-68.25,270.0,top
C255,110.345,-144.2875,90.0,top
C256,116.695,-68.2225,270.0,top
C257,138.175,-144.2,90.0,top
C258,144.525,-68.03,270.0,top
C259,165.005,-144.0,90.0,top
C26,89.375,-146.025,270.0,top
C260,171.345,-67.93,270.0,top
C261,192.405,-143.93,90.0,top
C262,198.735,-67.9025,270.0,top
C263,219.82,-143.9375,90.0,top
C264,225.61,-67.94,270.0,top
C265,82.51,-148.9975,270.0,top
C266,89.375,-63.475,90.0,top
C267,110.345,-149.0625,270.0,top
C268,116.695,-63.4475,90.0,top
C269,138.175,-148.975,270.0,top
C27,110.345,-66.5125,90.0,top
C270,144.525,-63.255,90.0,top
C271,165.005,-148.775,270.0,top
C272,171.345,-63.155,90.0,top
C273,192.405,-148.705,270.0,top
